DDI-MedLine.d48.s0|79-107|Clostridium difficile toxin A|drug
DDI-MedLine.d48.s1|0-20|Clostridium difficile|drug_n
DDI-MedLine.d48.s2|0-0|A|drug
DDI-MedLine.d48.s2|8-8|B|group
DDI-MedLine.d48.s2|100-102|Rho|group
DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug
DDI-MedLine.d48.s4|146-152|A toxin|drug
DDI-MedLine.d48.s4|278-284|N toxin|drug
DDI-MedLine.d48.s4|404-410|N toxin|drug
DDI-MedLine.d48.s4|523-529|N toxin|drug_n
DDI-MedLine.d48.s4|642-648|N toxin|drug_n
DDI-MedLine.d48.s4|761-767|N toxin|drug_n
DDI-MedLine.d48.s4|880-886|N toxin|drug_n
DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|58-70|hydroxylamine|drug
DDI-MedLine.d48.s8|0-19|Glucosyl transferase|drug
DDI-MedLine.d48.s10|96-96|A|drug_n
DDI-MedLine.d62.s0|54-68|methamphetamine|drug
DDI-MedLine.d62.s1|141-144|METH|drug
DDI-MedLine.d62.s3|0-3|METH|drug
DDI-MedLine.d62.s4|0-3|METH|drug
DDI-MedLine.d62.s4|245-248|METH|drug
DDI-MedLine.d62.s4|270-270|N|drug
DDI-MedLine.d62.s4|340-340|N|drug
DDI-MedLine.d62.s4|365-368|drug|drug_n
DDI-MedLine.d62.s4|400-406|trypsin|drug_n
DDI-MedLine.d62.s4|410-410|N|drug
DDI-MedLine.d62.s4|441-443|arc|group
DDI-MedLine.d62.s4|498-500|arc|group
DDI-MedLine.d62.s4|522-522|N|drug
DDI-MedLine.d62.s4|558-560|arc|group
DDI-MedLine.d62.s4|612-614|arc|group
DDI-MedLine.d62.s4|641-641|N|drug
DDI-MedLine.d62.s4|693-693|N|drug
DDI-MedLine.d62.s6|27-28|D1|drug
DDI-MedLine.d62.s6|183-183|N|drug
DDI-MedLine.d106.s0|0-7|Warfarin|drug
DDI-MedLine.d106.s1|0-12|Phenobarbital|drug
DDI-MedLine.d106.s1|15-26|Secobarbital|drug
DDI-MedLine.d106.s1|29-42|Anticoagulants|group
DDI-MedLine.d106.s1|45-56|Glutethimide|drug
DDI-MedLine.d106.s1|89-73||drug
DDI-MedLine.d106.s1|103-87||drug
DDI-MedLine.d106.s2|133-140|warfarin|drug
DDI-MedLine.d106.s3|0-10|Prothrombin|drug
DDI-MedLine.d106.s4|0-0|N|drug
DDI-MedLine.d106.s4|2-2|N|group
DDI-MedLine.d106.s4|4-4|N|drug
DDI-MedLine.d106.s4|6-6|N|drug
DDI-MedLine.d106.s4|8-8|N|group
DDI-MedLine.d106.s5|81-95|chloral hydrate|drug
DDI-MedLine.d106.s6|0-11|Barbiturates|drug_n
DDI-MedLine.d106.s6|17-28|glutethimide|drug_n
DDI-MedLine.d106.s6|79-86|coumarin|drug
DDI-MedLine.d106.s8|0-0|N|drug
DDI-MedLine.d106.s8|1-1|N|drug
DDI-MedLine.d106.s8|7-7|M|group
DDI-MedLine.d106.s8|8-8|N|drug
DDI-MedLine.d106.s8|10-10|N|drug
DDI-MedLine.d106.s8|64-64|A|group
DDI-MedLine.d106.s8|65-65|N|drug
DDI-MedLine.d106.s9|21-35|chloral hydrate|drug
DDI-MedLine.d106.s9|41-52|methaqualone|drug
DDI-MedLine.d59.s0|77-87|carbaclofen|drug
DDI-MedLine.d59.s1|107-124|[(14)C]aminopyrine|drug
DDI-MedLine.d59.s1|127-137|Aminopyrine|drug
DDI-MedLine.d59.s1|140-153|acid secretion|drug
DDI-MedLine.d59.s1|156-164|isolation|drug
DDI-MedLine.d59.s1|167-172|Rabbit|drug
DDI-MedLine.d59.s1|175-181|Gastric|group
DDI-MedLine.d59.s1|184-188|Gland|group
DDI-MedLine.d59.s1|191-198|Isolated|group
DDI-MedLine.d59.s1|201-205|Blood|group
DDI-MedLine.d59.s1|208-213|Breath|group
DDI-MedLine.d59.s1|216-222|Exhaled|group
DDI-MedLine.d59.s1|225-230|Saliva|group
DDI-MedLine.d59.s1|233-239|Stomach|group
DDI-MedLine.d59.s1|242-246|Urine|group
DDI-MedLine.d59.s1|249-254|Plasma|group
DDI-MedLine.d59.s1|257-261|Organ|group
DDI-MedLine.d59.s1|264-269|Tissue|group
DDI-MedLine.d59.s1|272-275|Cell|group
DDI-MedLine.d59.s1|278-284|Protein|group
DDI-MedLine.d59.s1|287-293|Peptide|group
DDI-MedLine.d59.s1|296-301|Enzyme|group
DDI-MedLine.d59.s1|304-313|Metabolite|group
DDI-MedLine.d59.s1|316-325|Metabolism|group
DDI-MedLine.d59.s1|328-335|Function|group
DDI-MedLine.d59.s1|338-344|Process|group
DDI-MedLine.d59.s2|31-39|carbachol|drug
DDI-MedLine.d59.s2|83-96|dibutyryl cAMP|drug_n
DDI-MedLine.d59.s3|185-193|carbachol|drug
DDI-MedLine.d59.s3|333-343|carbaclofen|drug
DDI-MedLine.d59.s4|0-5|Dyctal|drug
DDI-MedLine.d59.s4|71-79|carbachol|drug
DDI-MedLine.d59.s4|140-149|histamine-|drug
DDI-MedLine.d59.s5|0-1|Dy|drug
DDI-MedLine.d59.s5|3-3|D|drug
DDI-MedLine.d59.s5|5-5|D|group
DDI-MedLine.d59.s5|7-11|Ca(2+|group
DDI-MedLine.d59.s5|21-4||group
DDI-MedLine.d59.s5|33-8||group
