DDI-MedLine.d48.s0|79-89|Clostridium|drug
DDI-MedLine.d48.s1|0-28|Clostridium difficile toxin A|drug
DDI-MedLine.d48.s5|68-74|toxin A|drug_n
DDI-MedLine.d48.s5|183-187|toxin|drug_n
DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d62.s1|141-155|Methamphetamine|drug
DDI-MedLine.d62.s3|245-259|Methamphetamine|brand
DDI-MedLine.d62.s3|264-278|Methamphetamine|drug
DDI-MedLine.d62.s3|289-303|Methamphetamine|drug_n
DDI-MedLine.d62.s3|423-436|anticoagulants|group
DDI-MedLine.d62.s3|442-458|antifungal agents|group
DDI-MedLine.d62.s3|486-500|Methamphetamine|brand
DDI-MedLine.d62.s3|737-750|anticoagulants|group
DDI-MedLine.d62.s3|756-772|antifungal agents|group
DDI-MedLine.d62.s3|800-814|Methamphetamine|brand
DDI-MedLine.d62.s3|906-920|Methamphetamine|brand
DDI-MedLine.d62.s4|46-49|METH|drug
DDI-MedLine.d106.s1|45-57|anticoagulant|drug
DDI-MedLine.d106.s1|75-87|phenobarbital|drug
DDI-MedLine.d106.s1|90-101|secobarbital|drug
DDI-MedLine.d106.s1|104-115|glutethimide|drug
DDI-MedLine.d106.s1|118-124|chloral|drug
DDI-MedLine.d106.s1|138-149|methaqualone|drug
DDI-MedLine.d106.s1|209-216|coumarin|drug
DDI-MedLine.d106.s2|60-67|warfarin|drug
DDI-MedLine.d106.s4|67-79|phenobarbital|drug
DDI-MedLine.d106.s4|82-93|secobarbital|drug
DDI-MedLine.d106.s4|100-111|glutethimide|drug
DDI-MedLine.d106.s5|0-14|chloral hydrate|drug
DDI-MedLine.d106.s5|20-31|methaqualone|drug
DDI-MedLine.d106.s5|184-198|chloral hydrate|drug
DDI-MedLine.d106.s5|204-215|methaqualone|drug
DDI-MedLine.d106.s6|0-11|Barbiturates|drug
DDI-MedLine.d106.s6|17-28|glutethimide|drug
DDI-MedLine.d106.s6|79-92|anticoagulants|group
DDI-MedLine.d106.s7|22-39|acetilsalicic acid|drug
DDI-MedLine.d106.s7|42-53|glutethimide|drug
DDI-MedLine.d106.s7|56-68|phenobarbital|drug
DDI-MedLine.d106.s7|75-89|chloral hydrate|drug
DDI-MedLine.d106.s7|453-458|heroin|drug_n
DDI-MedLine.d106.s7|514-524|amphetamine|drug_n
DDI-MedLine.d106.s7|567-577|amphetamine|drug_n
DDI-MedLine.d106.s7|739-749|amphetamine|drug_n
DDI-MedLine.d106.s7|895-905|amphetamine|drug_n
DDI-MedLine.d106.s9|21-35|chloral hydrate|drug
DDI-MedLine.d106.s9|41-52|methaqualone|drug
DDI-MedLine.d59.s2|31-39|carbachol|drug
DDI-MedLine.d59.s3|38-46|carbachol|drug
DDI-MedLine.d59.s4|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s4|75-83|carbachol|drug
DDI-MedLine.d59.s5|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s6|29-42|cytochalasin D|drug
DDI-MedLine.d58.s7|0-11|ginsenosides|drug
DDI-MedLine.d58.s7|111-125|omega-conotoxin|drug_n
DDI-MedLine.d58.s7|163-176|omega-agatoxin|drug_n
DDI-MedLine.d47.s1|46-55|buforin II|drug
DDI-MedLine.d47.s2|0-9|Buforin II|drug
DDI-MedLine.d47.s4|0-9|Buforin II|drug
DDI-MedLine.d47.s4|107-118|azithromycin|drug
DDI-MedLine.d47.s4|123-133|minocycline|drug
DDI-MedLine.d65.s1|21-37|theraputic agents|drug
DDI-MedLine.d65.s4|0-17|acetilsalicic acid|drug
DDI-MedLine.d65.s4|20-31|glutethimide|drug
DDI-MedLine.d65.s4|34-48|chloramphenicol|drug
DDI-MedLine.d65.s4|51-79|trimethoprim/sulfamethoxazole|drug
DDI-MedLine.d65.s4|82-91|vancomycin|drug
DDI-MedLine.d74.s2|49-55|insulin|drug
DDI-MedLine.d74.s2|61-68|glucagon|drug
DDI-MedLine.d74.s2|267-278|theophylline|drug_n
DDI-MedLine.d74.s4|0-6|Glucose|drug
DDI-MedLine.d74.s4|38-49|theophylline|drug
DDI-MedLine.d74.s8|12-19|arginine|drug
DDI-MedLine.d74.s8|83-89|insulin|drug
DDI-MedLine.d74.s8|95-102|glucagon|drug
DDI-MedLine.d74.s11|108-119|theophylline|drug
DDI-MedLine.d44.s2|30-39|etofibrate|drug
DDI-MedLine.d44.s2|401-410|etofibrate|drug
DDI-MedLine.d44.s5|50-66|total cholesterol|drug
DDI-MedLine.d44.s5|72-83|triglyceride|drug
DDI-MedLine.d44.s5|123-158|high-density lipoprotein cholesterol|drug
DDI-MedLine.d44.s6|92-106|3H-triglyceride|drug_n
DDI-MedLine.d44.s7|71-80|etofibrate|drug
DDI-MedLine.d44.s8|30-39|etofibrate|drug
DDI-MedLine.d125.s1|30-48|1,3-difluoroacetone|drug
DDI-MedLine.d125.s1|120-142|1,3-difluoro-2-propanol|brand
DDI-MedLine.d125.s4|19-37|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s4|201-219|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s5|181-199|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s5|273-279|acetoin|drug
DDI-MedLine.d125.s5|330-352|1,3-difluoro-2-propanol|drug_n
DDI-MedLine.d125.s5|485-503|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s5|539-545|acetoin|drug
DDI-MedLine.d125.s6|0-15|4-methylpyrazole|drug
DDI-MedLine.d125.s6|83-105|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s7|27-42|4-methylpyrazole|drug
DDI-MedLine.d125.s8|62-77|4-methylpyrazole|drug
DDI-MedLine.d86.s0|57-65|diltiazem|drug
DDI-MedLine.d86.s1|60-69|silrolimus|drug
DDI-MedLine.d86.s1|157-165|diltiazem|drug
DDI-MedLine.d86.s6|79-81|38%|drug
DDI-MedLine.d86.s6|87-89|45%|drug
DDI-MedLine.d86.s6|136-144|diltiazem|brand
DDI-MedLine.d86.s7|0-8|diltiazem|drug
DDI-MedLine.d86.s7|11-28|desacetyldiltiazem|drug_n
DDI-MedLine.d86.s7|31-48|desmethyldiltiazem|drug_n
DDI-MedLine.d86.s7|51-59|sirolimus|drug
DDI-MedLine.d86.s8|25-33|diltiazem|drug
DDI-MedLine.d1.s4|85-94|sildenafil|drug
DDI-MedLine.d1.s6|40-61|beta-receptor blockers|group
DDI-MedLine.d1.s6|64-82|calcium antagonists|group
DDI-MedLine.d1.s6|85-111|thiazide and loop diuretics|group
DDI-MedLine.d1.s6|134-155|beta-receptor blockers|drug_n
DDI-MedLine.d1.s6|157-175|calcium antagonists|drug_n
DDI-MedLine.d1.s6|177-203|thiazide and loop diuretics|drug_n
DDI-MedLine.d1.s6|205-218|ACE inhibitors|drug_n
DDI-MedLine.d1.s6|446-467|beta-receptor blockers|group
DDI-MedLine.d1.s6|470-488|calcium antagonists|group
DDI-MedLine.d1.s6|491-517|thiazide and loop diuretics|group
DDI-MedLine.d1.s6|524-537|ACE inhibitors|drug_n
DDI-MedLine.d1.s8|86-99|blood pressure|drug
DDI-MedLine.d1.s8|105-115|blood sugar|drug
DDI-MedLine.d132.s3|101-110|nevirapine|drug_n
DDI-MedLine.d132.s3|115-125|delavirdine|drug_n
DDI-MedLine.d132.s4|5-13|efavirenz|drug
DDI-MedLine.d132.s4|19-28|nevirapine|drug
DDI-MedLine.d132.s4|79-87|indinavir|drug
DDI-MedLine.d132.s4|166-175|nevirapine|drug
DDI-MedLine.d132.s4|216-224|efavirenz|drug
DDI-MedLine.d132.s8|19-27|efavirenz|drug
DDI-MedLine.d132.s11|20-25|NNRTIs|drug
DDI-MedLine.d132.s11|120-124|toxin|drug_n
DDI-MedLine.d132.s11|176-197|antiretroviral therapy|group
DDI-MedLine.d132.s11|200-209|zidovudine|brand
DDI-MedLine.d132.s11|247-145||drug
DDI-MedLine.d132.s11|265-274|lamivudine|brand
