DDI-MedLine.d48.s1|0-28|Clostridium difficile toxin A|drug
DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|58-70|hydroxylamine|drug
DDI-MedLine.d48.s7|23-27|toxin|drug_n
DDI-MedLine.d48.s9|36-40|toxin|drug_n
DDI-MedLine.d48.s9|45-49|toxin|drug_n
DDI-MedLine.d48.s9|62-66|toxin|drug_n
DDI-MedLine.d48.s9|71-76|bovine|drug_n
DDI-MedLine.d48.s9|78-90|thyroglobulin|drug_n
DDI-MedLine.d48.s10|26-43|histidine residues|drug
DDI-MedLine.d48.s11|22-28|toxin A|drug
DDI-MedLine.d48.s11|150-156|toxin A|drug
DDI-MedLine.d62.s0|17-49|effector immediate-early gene arc|group
DDI-MedLine.d62.s0|54-68|methamphetamine|drug
DDI-MedLine.d62.s1|116-130|Methamphetamine|drug
DDI-MedLine.d62.s3|0-3|METH|drug
DDI-MedLine.d62.s4|46-49|METH|drug
DDI-MedLine.d62.s5|62-69|dopamine|drug
DDI-MedLine.d62.s6|27-30|METH|drug
DDI-MedLine.d62.s6|174-177|METH|drug
DDI-MedLine.d106.s0|25-32|warfarin|drug
DDI-MedLine.d106.s1|45-57|anticoagulant|drug
DDI-MedLine.d106.s1|75-87|phenobarbital|drug
DDI-MedLine.d106.s1|90-101|secobarbital|drug
DDI-MedLine.d106.s1|104-115|glutethimide|drug
DDI-MedLine.d106.s1|118-132|chloral hydrate|drug
DDI-MedLine.d106.s1|138-149|methaqualone|drug
DDI-MedLine.d106.s1|209-216|coumarin|drug
DDI-MedLine.d106.s2|60-67|warfarin|drug
DDI-MedLine.d106.s3|0-10|prothrombin|drug
DDI-MedLine.d106.s4|67-79|phenobarbital|drug
DDI-MedLine.d106.s4|82-93|secobarbital|drug
DDI-MedLine.d106.s4|100-111|glutethimide|drug
DDI-MedLine.d106.s5|81-95|chloral hydrate|drug
DDI-MedLine.d106.s5|101-112|methaqualone|drug
DDI-MedLine.d106.s6|0-11|Barbiturates|drug
DDI-MedLine.d106.s6|17-28|glutethimide|drug
DDI-MedLine.d106.s6|79-86|coumarin|drug
DDI-MedLine.d106.s7|22-25|drug|drug
DDI-MedLine.d106.s7|31-35|group|drug
DDI-MedLine.d106.s7|41-45|brand|drug
DDI-MedLine.d106.s7|51-56|drug_n|drug_n
DDI-MedLine.d106.s8|0-14|chloral hydrate|drug
DDI-MedLine.d106.s8|20-31|methaqualone|drug
DDI-MedLine.d106.s8|85-104|anticoagulant agents|group
DDI-MedLine.d106.s9|21-35|chloral hydrate|drug
DDI-MedLine.d106.s9|41-52|methaqualone|drug
DDI-MedLine.d59.s1|86-90|(14)C|drug
DDI-MedLine.d59.s2|31-39|carbachol|drug
DDI-MedLine.d59.s3|38-46|carbachol|drug
DDI-MedLine.d59.s4|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s4|75-83|carbachol|drug
DDI-MedLine.d59.s4|108-111|cAMP|drug
DDI-MedLine.d59.s4|156-159|cAMP|drug
DDI-MedLine.d59.s5|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s5|29-37|carbachol|drug
DDI-MedLine.d59.s6|29-42|cytochalasin D|drug
DDI-MedLine.d58.s1|39-50|ginsenosides|drug
DDI-MedLine.d58.s4|22-33|ginsenosides|drug
DDI-MedLine.d58.s7|24-35|ginsenosides|drug
DDI-MedLine.d58.s8|71-82|ginsenosides|drug
DDI-MedLine.d58.s8|171-177|ginseng|drug
DDI-MedLine.d47.s0|12-21|buforin II|drug
DDI-MedLine.d47.s0|53-64|azithromycin|drug
DDI-MedLine.d47.s0|70-80|minocycline|drug
DDI-MedLine.d47.s1|46-55|buforin II|drug
DDI-MedLine.d47.s1|87-98|azithromycin|drug
DDI-MedLine.d47.s1|104-114|minocycline|drug
DDI-MedLine.d47.s3|69-80|azithromycin|group
DDI-MedLine.d47.s3|85-95|minocycline|group
DDI-MedLine.d47.s4|0-9|Buforin II|drug
